Address,Zone,Type,Total Area,Bathrooms,Bedrooms,Vacancies,Price,Description,Link
"Rua Cristiano Viana, Cerqueira César",sp+sao-paulo+centro,casas,102,2,2,3,4500,Locação Casa Cerqueira César São Paulo,/imovel/aluguel-casa-2-quartos-com-varanda-cerqueira-cesar-centro-sao-paulo-sp-102m2-id-2507834078/
"Rua dos Franceses, Bela Vista",sp+sao-paulo+centro,casas,320,5,12,8,19700,SOBRADO COMERCIAL COM DEZ SALAS NA BELA VISTA,/imovel/aluguel-casa-12-quartos-bela-vista-centro-sao-paulo-sp-320m2-id-2515091882/
"Avenida da Aclimação, Aclimação",sp+sao-paulo+centro,casas,360,2,3,5,30000,SãO PAULO - Casa Padrão - Aclimação,/imovel/venda-casa-3-quartos-aclimacao-centro-sao-paulo-sp-360m2-id-2493963275/
"Rua das Palmeiras, Jardim Azano I",sp+sao-paulo+centro,casas,125,2,3,2,1500,Sobrado para venda ou aluguel no Jardim Azano I,/imovel/venda-casa-3-quartos-com-churrasqueira-jardim-azano-i-centro-sao-paulo-sp-125m2-id-2516002848/
"Travessa Vila Nilo, Aclimação",sp+sao-paulo+centro,casas,80,2,2,0,3500,SÃO PAULO - CASA DE VILA - ACLIMACAO,/imovel/aluguel-casa-2-quartos-com-quintal-aclimacao-centro-sao-paulo-sp-80m2-id-2514580377/
"Avenida Pedroso da Silveira, Pari",sp+sao-paulo+centro,casas,118,4,3,1,3600,São Paulo - Casa Padrão - Pari,/imovel/aluguel-casa-3-quartos-mobiliado-pari-centro-sao-paulo-sp-118m2-id-2515918280/
"Rua José Comparato, Aclimação",sp+sao-paulo+centro,casas,250,3,3,6,4300,"Sobrado com 3 dormitórios para alugar, 250 m² por R$ 4.300,00/mês - Aclimação - São Paulo/SP",/imovel/aluguel-casa-3-quartos-com-armario-de-cozinha-aclimacao-centro-sao-paulo-sp-250m2-id-2513978775/
Aclimação,sp+sao-paulo+centro,casas,90,1,2,0,1800,Sao Paulo - Casa Padrão - Aclimação,/imovel/aluguel-casa-2-quartos-aclimacao-centro-sao-paulo-sp-90m2-id-2516115981/
"Rua Pedro Inácio de Araújo, Vila Sao Silvestre",sp+sao-paulo+centro,casas,115,2,2,2,2000,SAO PAULO - Casa de Condomínio - Vila São Silvestre,/imovel/aluguel-casa-2-quartos-com-churrasqueira-vila-sao-silvestre-centro-sao-paulo-sp-115m2-id-2245655702/
"Rua Senador Felício dos Santos, Liberdade",sp+sao-paulo+centro,casas,66,1,2,0,1600,"Casa com 2 dormitórios para alugar, 66 m² por R$ 1.600/mês - Liberdade - São Paulo/SP",/imovel/aluguel-casa-2-quartos-com-lavanderia-coletiva-liberdade-centro-sao-paulo-sp-66m2-id-2515489808/
