Id,Price,Type,Region,Total Area,Bathrooms,Bedrooms,Vacancies,dist_subway,dist_bus,dist_school,ncult,food,crime%,latitude,longitude,sala,suíte,mobiliado,piscina,churrasqueira,salão,varanda,academia,duplex,quintal,armário,reformado,sobrado,condicionado,condominio,escritorio
2514838975,2800,apartament,centro,110,2,2,1,377.0,333.0,534.0,30.0,82.0,0.4201341197382241,-23.562459699999998,-46.6752293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2507719813,4500,house,zona sul,342,4,3,6,1720.0,208.0,195.0,1.0,5.0,0.22622606447442836,-23.6161086,-46.619954799999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2511858408,5900,house,zona oeste,217,4,3,2,805.0,46.0,189.0,4.0,5.0,0.3878161105275915,-23.5456719,-46.6744688,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2443839836,2000,house,centro,150,1,3,0,1035.0,32.0,207.0,4.0,39.0,0.15351054375050496,-23.5259566,-46.6191236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2513393133,1600,apartament,zona leste,47,1,2,1,746.0,66.0,242.0,5.0,8.0,0.26662357598771913,-23.534454399999998,-46.57055089999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2515378978,2600,apartament,zona oeste,70,3,2,2,1728.0,76.0,115.0,6.0,30.0,0.42821362204088226,-23.5324773,-46.683819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2514761138,3600,house,zona oeste,90,2,2,1,1388.0,137.0,195.0,25.0,20.0,0.36357760361961705,-23.5290869,-46.680544700000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512548715,2160,apartament,zona norte,67,2,3,1,5483.0,51.0,119.0,6.0,2.0,0.16159004605316313,-23.4762642,-46.67101556583846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2466830728,3600,apartament,zona sul,45,1,1,1,2359.0,151.0,505.0,22.0,37.0,0.4039751151329078,-23.5853543,-46.674117700000004,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2512952524,3300,apartament,zona oeste,78,2,2,1,2183.0,99.0,855.0,1.0,0.0,0.13735153914518866,-23.5494609,-46.71229274842102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2515043884,3500,house,zona norte,150,4,3,3,1311.0,46.0,497.0,0.0,2.0,0.2019875575664539,-23.494851699999998,-46.6349271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2510574809,3500,apartament,centro,96,2,2,1,491.0,104.0,208.0,55.0,65.0,1.6159004605316312,-23.5447433,-46.6537622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2514382687,1975,apartament,centro,36,1,1,1,630.0,276.0,114.0,25.0,10.0,0.39589561283024965,-23.5296595,-46.65189388826503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2514311916,3100,apartament,zona norte,80,3,2,1,524.0,176.0,419.0,4.0,22.0,0.4524521289488567,-23.499321,-46.6289326497014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2510880223,2000,apartament,zona leste,90,1,2,1,1606.0,103.0,266.0,1.0,14.0,0.1696695483558213,-23.5705085,-46.5869081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2515307220,3100,apartament,zona sul,53,1,1,1,1150.0,75.0,233.0,2.0,6.0,0.3474185990143007,-23.613591600000003,-46.6791189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2515168494,1950,house,zona sul,145,3,3,2,2773.0,152.0,535.0,0.0,0.0,0.17774905065847943,-23.621523899999996,-46.7637396,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2514832622,3200,house,zona leste,100,4,3,5,551.0,118.0,332.0,20.0,17.0,0.5090086450674638,-23.537257800000003,-46.5723303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2515611843,3500,apartament,zona norte,74,2,2,1,524.0,176.0,419.0,4.0,22.0,0.4524521289488567,-23.499321,-46.6289326497014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2514071517,2000,apartament,zona leste,68,2,2,1,26.0,21.0,156.0,19.0,18.0,0.5090086450674638,-23.5400222,-46.5765739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2515140990,1700,apartament,zona norte,65,2,2,1,2042.0,62.0,283.0,0.0,0.0,0.10503352993455603,-23.5200395,-46.568973299999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
