pt_nome,pt_enderec,longitude,latitude
"R. JUAZEIRO DO NORTE , 298",RIO TAPACURA,-46.48780583910792,-23.529587155344284
"R. PEIXOTO MELO FILHO , 0",CESAR COSTA/ R PADRE JOSE GIANNELLA,-46.66386675790238,-23.681991982672123
"R. S. FLORÊNCIO , 1464",ESIDENCIAL SOLAR,-46.53086221601284,-23.5089989933924
"R. PST. RUBENS LOPES , 400",UA PUBLICO PIMENTEL,-46.6509894982157,-23.675847997139936
"ESTR. DO LAGEADO VELHO , 670",SERRA DAS ARARAS/ R JOAO MARCHI,-46.40277905549456,-23.53586054811048
"R. DR. DJALMA PINHEIRO FRANCO , 89",AV SANTA CATARINA,-46.66316844932581,-23.648957920781694
"R. PEDRO DOLL , 96",CANTO DO JUNCO/ R JOSE DOLL DE MORAES,-46.62727007343202,-23.491536714202404
"ROD. RAPOSO TAVARES , 5909",JOSE SILVANO FILHO/ R NORONHA SANTOS,-46.768605764099256,-23.584431966625576
"R. INÁCIO LUÍS DA COSTA , 1888",UA BRG. HENRIQUE FONTENELLE,-46.74040910106015,-23.507558615672032
"R. JAIME PAIVA , 210",MANDUVIRA/ AV ASTOLFO DUTRA,-46.54723866467762,-23.59967410576928
"R. FORTE DO RIO BRANCO , 161",AV FORTE DO LEME,-46.46647976436225,-23.606801386017978
"R. REIMS , 375",MOURAO VIEIRA/ R DR. RIBAS BOTELHO,-46.66527851385991,-23.508091679983767
"R. FRANCISCA DE PAULA , 275",Prox. Av. 19 de Janeiro,-46.52977533242968,-23.556798075760693
"AV. MQ. DE SÃO VICENTE , 2728",FRANCISCO LUIS DE SOUZA JUNIOR/ AV NICOLAS BOER,-46.68543773040146,-23.51641768024004
"AV. COM. FEIZ ZARZUR , 310",AV. MIGUEL DE CASTRO,-46.719244798461034,-23.47929646691095
"R. CDE. MOREIRA LIMA , 295",TR LACERDA COUTINHO/ R VIRGILIO DE LEMOS,-46.659217473471024,-23.660910949250674
"R. DAS GUASSATUNGAS , 88",UA DAS CRUZADAS,-46.64483124516232,-23.65752697635089
"R. BERNARDO DE VERA , 11",MANOEL AQUILINO DOS SANTOS,-46.6820704198766,-23.45601239484934
"R. ALBERTO ALVAREZ , 189",UA ALBERTO GENTILI,-46.79474012835869,-23.430074909090692
"R. ALFREDO PUJOL , 1627",HELIODORA,-46.64137724797587,-23.50242672527805
"ESTR. DA BARRAGEM , 9000",ESTRADA EVANGELISTA DE SOUZA,-46.66350114753157,-23.865365322135247
"AV. GUARAPIRANGA , 1103",JAGUARIBARA/ R IRUTIM,-46.73458317152392,-23.67846823952339
"R. BENEDITO DE SOUZA BORGES , 60",CON.  ANTONIO MANZI,-46.41311313582576,-23.524205478798343
"AV. WASHINGTON LUIZ , 340",SAO LEONIDAS/ R PIRANCHIN,-46.70185979242334,-23.660085067252226
"AV. PRES. JOÃO GOULART , 2720",Pça Ramires Ferreira,-46.67695532452391,-23.72112809996411
"R. MONS. MEIRELES , 700",SANTO ANTÔNIO DO RIACHO,-46.4967508772694,-23.503477071517104
"AV. CANGAIBA , 2836",ALMIRANTE BULCAO VIANA/ R MAESTRO VASCONCELOS CHAVES,-46.52868418752304,-23.506191993774266
"R. FIRMINÓPOLIS , 164",ARARIPIRA/ R PIAPARA,-46.683453409910896,-23.45092936251159
