nomesc,latitude,longitude
PRIMEIROS PASSOS,-23.598217,-46.781338
RECANTO DA ALEGRIA I,-23.600718,-46.697863
RECANTO DA ALEGRIA II,-23.607171,-46.70439
DOM EMILIO PIGNOLI,-23.587122,-46.753914
SANTO AGOSTINHO - ASA,-23.606427,-46.724208
SAO FRANCISCO - ASA,-23.584702,-46.758068
"IZABEL MENDES DE CASTRO, R.I.",-23.565299,-46.699011
ADOLPHE FERRIERE,-23.603215,-46.726799
MARIA TEREZA DE MACEDO COSTA,-23.572527,-46.730658
RUBENS SVERNER,-23.599161,-46.713343
"CRESCENTE, ESCOLA",-23.57741,-46.722955
"PAT WAY, E.E.I.",-23.589105,-46.718545
SAO FRANCISCO DE ASSIS,-23.594298,-46.756567
PLANETA CRIANCA,-23.60039,-46.730069
PAU BRASIL,-23.598217,-46.781338
JOAO DE BARRO,-23.598217,-46.781338
IPE,-23.598217,-46.781338
SAO CESARIO,-23.598217,-46.781338
"SOLETRANDO II, C.E.I.",-23.589741,-46.76857
MAE DE DEUS,-23.602157,-46.750617
JARDIM ESCOLA ESQUILINHO,-23.550744,-46.691114
ESPACO EDUCACAO INFANTIL,-23.576265,-46.714983
QUACATU EDUCACAO E RECREACAO INFANTIL,-23.576302,-46.741554
"ACONCHEGO, ESCOLA",-23.583061,-46.715523
REZENDE,-23.587424,-46.738269
"APOIO,  ESCOLA",-23.60617,-46.738665
EL MIGUELITO,-23.593571,-46.721304
A HEBRAICA,-23.57893,-46.694078
ESCOLA DA TURMA,-23.612909,-46.68499
QUINTAL DO JOAO MENINO,-23.556994,-46.710602
"VILAPLAY, B.E.E.I.",-23.623037,-46.689815
CRYSTAL,-23.556136,-46.758736
BRIGHT KIDS,-23.571233,-46.675317
APICE,-23.578249,-46.682645
ABCD SOFIA,-23.583388,-46.760545
PAT WAY II,-23.591888,-46.717071
VILA DO APRENDER,-23.600651,-46.677552
"PLANETA CRIANCA, INST. E.",-23.560444,-46.75913
"RECRIAR, E. E. I.",-23.594436,-46.725207
"LUA DE ALGODAO, N. E. I.",-23.579747,-46.728423
ESPACO SINGULAR,-23.608019,-46.688949
"FADELITO, C. E.",-23.587769,-46.728136
CAROLINA MARIA DE JESUS,-23.590072,-46.749565
"FADELITO, C.E.",-23.577247,-46.741359
"SANTA MARIA, CENTRO DE DESENVOLV INF",-23.580674,-46.734497
O PEQUENO GALILEU,-23.564879,-46.752947
CASA DA INFANCIA DO MENINO JESUS,-23.580784,-46.758347
SANTA ROSA,-23.597059,-46.785064
EXPRESSAO,-23.585407,-46.737913
PICCOLINO,-23.545644,-46.699539
ALGO TAO DOCE,-23.573247,-46.753087
ESCOLA DE SONHOS,-23.598442,-46.740483
COLEGIO ANDRADE GRIGOLI,-23.603597,-46.738421
RECANTO DA ALEGRIA IV,-23.586626,-46.761014
COLEGIO ARTE VIVA,-23.590913,-46.792461
QUERUBINS,-23.60405,-46.778138
ESPACO LIVRE,-23.609739,-46.686018
MEU CASTELINHO UNIDADE III,-23.579078,-46.672309
ESCOLA DA PRACA,-23.590201,-46.769737
ESCOLA QUACATU - UNIDADE II,-23.57737,-46.739907
COLEGIO EVOLVE,-23.606756,-46.72384
VIVER E CONVIVER,-23.593201,-46.753462
"RECREIO, E.E.I.",-23.539832,-46.712924
RECANTO DA PAZ,-23.579477,-46.767823
GLOBAL ME,-23.566231,-46.667088
"BABY ARTE, E.R.I.",-23.582537,-46.761409
"MARIA SOPHIA, ESCOLA E BERCARIO",-23.594998,-46.734835
