nomesc,latitude,longitude
"ASS CRIANCAS, ADOLESCENTES E JOVENS DO ICARAI - ACAJI",-23.732958,-46.701536
"ASS CRIANCAS, ADOLESCENTES E JOVENS DO ICARAI - ACAJI",-23.727428,-46.702712
"ASS CRIANCAS, ADOLESCENTES E JOVENS DO ICARAI - ACAJI",-23.684052,-46.705094
"ASS CRIANCAS, ADOLESCENTES E JOVENS DO ICARAI - ACAJI",-23.721354,-46.690156
"ASSOCIACAO DA CRIANCA, ADOLESCENTE E JOVENS DO JD ICARAI",-23.717285,-46.690758
SOC DOS MORADORES DO JD IMBUIAS E ADJACENCIAS,-23.779669,-46.695801
VICENTE PAULO DA SILVA,-23.489728,-46.670198
NAIR CORREA BUARQUE,-23.498613,-46.685953
"ROBERTO PATRICIO, PROF.",-23.471774,-46.654797
CAIO GRACO DA SILVA PRADO,-23.460485,-46.679495
"MARIA LUCIA PETIT DA SILVA, PROFA.",-23.454975,-46.656488
"TITO LIVIO FERREIRA, PROF.",-23.472939,-46.69297
"ALEX FREUA NETTO, VER.",-23.462184,-46.690239
ANTONIO CALLADO,-23.496464,-46.674627
"JOSE ROBSON COSTA DE ARAUJO, BOMBEIRO",-23.481372,-46.677116
PAZ,-23.448354,-46.689088
"JARDIM GUARANI - JOSE ALFREDO APOLINARIO, PROF.",-23.462583,-46.689754
JARDIM DAMASCENO I,-23.446499,-46.703941
"JOSE HERMINIO RODRIGUES, CEL. PM",-23.461374,-46.681399
JARDIM PAULISTANO,-23.462056,-46.711731
JARDIM PAULISTANO,-23.462056,-46.711731
"BERNARDINO PIMENTEL MENDES, DR",-23.451792,-46.675011
"CAIRA ALAYDE ALVARENGA MEDEA, PROFA",-23.469086,-46.700422
"NEIR AUGUSTO LOPES, PROF",-23.463462,-46.659823
ZILKA SALABERRY DE CARVALHO,-23.457478,-46.658245
"GILBERTO DUPAS, PROF",-23.475105,-46.668977
"MARIO PEREIRA BICUDO, PROF.",-23.473419,-46.66979
"MARIA APARECIDA RODRIGUES CINTRA, PROFA.",-23.482719,-46.703477
"LILIAN MASO, PROFA",-23.461634,-46.709548
JARDIM MONJOLO I,-23.488879,-46.701042
PORTO NACIONAL,-23.462313,-46.702573
JARDIM SANTA TEREZA,-23.459748,-46.679644
DOMINGOS DELGADO,-23.467253,-46.676074
FREGUESIA DO O,-23.483514,-46.693485
"PRIMO PASCOLI MELARE, PROF.",-23.451203,-46.675307
MANOEL PRETO,-23.499698,-46.694096
OLAVO BILAC,-23.486185,-46.693591
FELIPE MESTRE JOU,-23.482067,-46.687333
25 DE JANEIRO,-23.483364,-46.703596
"JOSE CANAVO FILHO, CEL.",-23.455097,-46.699769
"ALEXANDRE GAMA, CEL.",-23.450486,-46.695036
ANITA GARIBALDI,-23.465615,-46.681773
MARTINS FONTES,-23.462754,-46.676886
"LUCAS NOGUEIRA GARCEZ, GOV.",-23.460828,-46.673375
"BILAC PINTO, MIN.",-23.450055,-46.687783
ROSA E CAROLINA AGAZZI,-23.460721,-46.664157
JULIO DE MESQUITA FILHO,-23.47107,-46.66655
NELSON MANDELA,-23.510529,-46.672991
ABELARDO GALDINO PINTO - PIOLIN,-23.51015,-46.657209
"EDUARDO GOMES, BRIG.",-23.497038,-46.656229
BERTHA LUTZ,-23.455789,-46.685171
"ENZO SILVEIRA, DR.",-23.491228,-46.654473
MANUEL BANDEIRA,-23.475889,-46.702919
7 DE SETEMBRO,-23.493092,-46.671385
PAULO NOGUEIRA FILHO,-23.512318,-46.650367
"NILO PECANHA, PRES.",-23.503835,-46.700662
PLINIO AYROSA,-23.489544,-46.691644
"JOANINHA GRASSI FAGUNDES, PROFA.",-23.48261,-46.687665
ERICO VERISSIMO,-23.478686,-46.706522
"MILTOM CAMPOS, SEN.",-23.462586,-46.697286
"ANDRE RODRIGUES DE ALCKMIN, PROF.",-23.458516,-46.694132
"RAUL FERNANDES, EMB.",-23.469221,-46.690582
THEO DUTRA,-23.467061,-46.680765
"ANTONIO PRUDENTE, PROF.",-23.476421,-46.676545
"SEBASTIAO NOGUEIRA DE LIMA, DES.",-23.471027,-46.673869
CASTRO ALVES,-23.45954,-46.677299
JOAO AMOS COMENIUS,-23.450175,-46.688436
OSVALDO QUIRINO SIMOES,-23.465628,-46.661843
"FREDERICO GUSTAVO DOS SANTOS, TTE. AVIADOR",-23.470039,-46.666729
PEDRO AMERICO,-23.481727,-46.678149
"ELIAS DE SIQUEIRA CAVALCANTI, DR.",-23.498711,-46.686014
HUMBERTO DANTAS,-23.486114,-46.670905
"AROLDO DE AZEVEDO, PROF.",-23.496845,-46.672551
"ANGELINA MAFFEI VITA, DA.",-23.497718,-46.661535
"GARCIA DAVILA, CTE.",-23.491455,-46.654747
"TEOTONIO VILELA, SEN.",-23.448133,-46.688773
"CECILIA MORAES DE VASCONCELOS, PROFA.",-23.45537,-46.684846
MARCILIO DIAS,-23.478987,-46.654063
"ARLINDO VEIGA DOS SANTOS, PROF.",-23.472785,-46.669811
"ODILIO DENYS, MAL.",-23.477527,-46.652554
DULCE HAUCK,-23.474754,-46.677514
GERALDO SESSO JUNIOR,-23.468684,-46.690818
"ROSE MARY FRASSON, PROFA.",-23.477017,-46.681467
PEDRITA E.E.I.,-23.501418,-46.671408
CORACAO MATERNO,-23.497868,-46.691813
BATUIRA,-23.460557,-46.699209
BRINCANDO TAMBEM SE APRENDE,-23.471247,-46.661673
CASA DA CRIANCA ST TEREZINHA,-23.457671,-46.696378
ECUMENICO STO EXPEDITO,-23.459785,-46.688471
CONSOLATA,-23.462675,-46.653871
JARDIM PAULISTANO,-23.456072,-46.706186
JARDIM PERI,-23.46,-46.648435
FRANCISCO ARCURI CRECHE,-23.463207,-46.656595
CRECHE TIA LOURDES,-23.451584,-46.692085
MARANATA,-23.499504,-46.665513
MARIA DULCE,-23.509922,-46.655892
NOSSA SENHORA DAS DORES I,-23.451919,-46.684741
NOSSA SENHORA DAS DORES II,-23.451038,-46.68761
SANTA TEREZINHA,-23.451562,-46.679624
PRIMEIROS PASSOS,-23.48022,-46.678743
GIRASSOL,-23.471623,-46.680001
"ANANDA MARGA, LAR DE CRIANCA",-23.456081,-46.669336
MENINO DEUS,-23.50754,-46.685746
VALE VERDE,-23.464037,-46.664857
"CANTINHO DO PROGRESSO, C.E.I.",-23.451624,-46.698878
FORHUM LAR,-23.484333,-46.671822
FRANCESCO PERSIANI,-23.454433,-46.707528
ANGLICANA LINA RODRIGUES,-23.465204,-46.682811
ARTE E CRIANCA,-23.46153,-46.694974
"EXPEDITO, SANTO",-23.467612,-46.659608
"TINDOLELE, E.E.I.",-23.47074,-46.675928
CANTINHO DA SERRA,-23.453161,-46.672568
CANTINHO VALE VERDE,-23.451938,-46.693708
VALE VERDE II,-23.45153,-46.698923
TEREZINHA DE JESUS,-23.48269,-46.69292
CANTINHO DO PROGRESSO II,-23.463573,-46.67171
UNIVERSO INFANTIL,-23.461106,-46.687263
CRIA,-23.451789,-46.676025
PINGO DE ORVALHO,-23.468057,-46.690669
TURMA DO TINTINO,-23.467598,-46.650525
GILEADE,-23.500827,-46.673442
BEM ME QUER,-23.471295,-46.705043
ITABERABA,-23.48669,-46.69002
CANTINHO DA SERRA II,-23.456254,-46.673406
CRIANCA FELIZ,-23.486199,-46.661006
OIKOS,-23.479495,-46.676188
ANJO AZUL,-23.464388,-46.679656
CANTINHO DA SERRA III,-23.460536,-46.667808
ADONIRAN BARBOSA,-23.475422,-46.695301
PRINCESINHA,-23.451619,-46.692541
MORRO GRANDE CT VIDA,-23.469471,-46.699238
ALAMEDA DO BEBE,-23.469401,-46.666739
LAR ENCANTADO,-23.455684,-46.699943
SAO JOSE DE VILA PALMEIRAS,-23.497521,-46.687171
ISAURA RIBEIRO MARTINS,-23.453641,-46.694959
SHALLOM,-23.487098,-46.668623
CIRANDINHA DAS ROSAS,-23.459925,-46.668153
HAYDEE BARRETO FERRARA,-23.459622,-46.657801
GLUB GLUB RC NUCLEO DE RECREACAO INFANTIL,-23.493865,-46.698357
NOVO AMANHECER,-23.469894,-46.68676
ASAS DA VIDA,-23.455095,-46.704162
QUERUBIM,-23.456775,-46.699476
ARY BARROSO,-23.455612,-46.702125
PRIMEIRA INFANCIA,-23.457936,-46.69878
FAZENDINHA,-23.473047,-46.698074
ANANDA MARGA - UNIVERSO INFANTIL,-23.463544,-46.686578
NOVO CAMINHO,-23.468739,-46.675759
QUERUBIM II,-23.478868,-46.659382
ARCA DA ALIANCA,-23.486522,-46.700789
TERRITORIOS DO BRINCAR,-23.461184,-46.687661
SHALLOM II,-23.494109,-46.654202
"TIA LENINHA, CEI",-23.458984,-46.706901
"COLEGIO ATENA, E. E. I.",-23.497963,-46.699753
VALE VERDE III,-23.451108,-46.698857
ANEU GARANHANI,-23.498247,-46.658907
PEQUENA GIOVANNA,-23.45182,-46.692843
"MUNDO MAGICO, CEI",-23.486217,-46.659294
"RECRIARTE, CEI",-23.471899,-46.665456
DOZE DE OUTUBRO,-23.505545,-46.665181
MARQUES DOS FRANCOS,-23.455631,-46.676212
"TERESA DANTAS, IRMA",-23.452068,-46.69106
PLENITUDE,-23.45571,-46.679653
BETEL,-23.486009,-46.691291
"CARLOS RAMIRO DE CASTRO, PROF",-23.464864,-46.664014
DERCILA BASTOS,-23.473331,-46.707267
MARIA HENRIQUE DE LIMA,-23.460983,-46.710497
VINTE DE AGOSTO,-23.49921,-46.682604
CT VIDA KIDS I,-23.474148,-46.709458
AQUARELA DO BRASIL,-23.455691,-46.70215
OTAVIO RODRIGUES,-23.474033,-46.653338
SANTA LUZIA,-23.45537,-46.710538
NOVO SER,-23.453565,-46.696573
TIRIRILANDO,-23.453803,-46.692352
MUNDO ENCANTADO,-23.460978,-46.711681
NELSON BREVE,-23.492756,-46.682797
RAMSSES,-23.497702,-46.668058
CURUMIM,-23.455207,-46.661758
JULIA NORBERTO,-23.504724,-46.693354
RECRIAR,-23.460923,-46.667489
CONTO DE FADAS,-23.469548,-46.664744
DOCE ENCANTO,-23.478652,-46.673605
MENINA MELISSA,-23.46701,-46.698332
ABRACO DE MAE,-23.462939,-46.692194
RAQUEL DE QUEIROZ,-23.458999,-46.655079
EDNA MATTOS,-23.463591,-46.671479
BENIGNA CARDOSO,-23.453448,-46.695182
ATITUDE DE CRIANCA,-23.466798,-46.652551
"CLAUDIO TRUDELLE, PE",-23.450999,-46.687036
SHADDAI,-23.489282,-46.667842
MAURA DUARTE NUVENS,-23.496432,-46.692516
SEMEAR PARA O FUTURO,-23.444077,-46.70606
EMILIA FERREIRO,-23.455761,-46.712403
VINTE E SEIS DE JULHO,-23.508268,-46.672649
"BERNARDO GORA, PE",-23.461711,-46.658427
RAMSSES II DR ALBERTO CALVO,-23.497711,-46.668427
SANTA PAULINA,-23.457608,-46.667158
NOVA VIDA,-23.474482,-46.690878
AMABILE AGUIAR,-23.462973,-46.6907
NOSSA SENHORA DA PAZ,-23.485885,-46.66414
CECILIA MEIRELES,-23.458323,-46.659434
IRMA LOUIS MARIE,-23.453952,-46.686734
"CABANINHA, C.E.I.",-23.483374,-46.651911
ANIVALDO FERREIRA PADILHA,-23.45536,-46.704235
MIGUEL ARCANJO,-23.460959,-46.710766
TIA LENITA,-23.493191,-46.6843
"IVANI CATARINA ARANTES FAZENDA, PROFA",-23.490325,-46.658662
SEMENTINHA DA VIDA,-23.462575,-46.654141
PAULO FREIRE,-23.470832,-46.683819
PEQUENO ANJO,-23.467608,-46.689361
"ARTESCOLA LTDA - CLUBE DO MICKEY, E.E.I.",-23.5022,-46.669845
FUTURO DO AMANHA,-23.461139,-46.675885
ARLETE ANIZETE DE OLIVEIRA LIMA,-23.458939,-46.675218
COMO NOSSOS PAIS,-23.445709,-46.698995
SEMENTINHA DO SABER,-23.500496,-46.65443
"ESTRELA DO AMANHA, E.E.I.",-23.499428,-46.677889
MUNDO DE SOFIA,-23.455166,-46.694718
RUTH ROCHA,-23.457094,-46.661878
"CORUJINHA FELIZ BABY,E.E.I.",-23.510123,-46.662494
FAVO DE MEL,-23.46144,-46.668833
"FREITAS MOURA,COLEGIO",-23.500493,-46.66504
ANA MARIA MACHADO,-23.498768,-46.674909
MONTEIRO LOBATO,-23.476041,-46.66987
BURITI,-23.465828,-46.686664
SANTHIAGO,-23.47186,-46.684209
ANDROS,-23.459827,-46.699492
ALECRIM DOURADO,-23.451294,-46.681797
PEQUENOS SONHADORES,-23.494695,-46.673186
APRENDER E CRESCER,-23.482385,-46.656697
LOBATINHO,-23.46611,-46.686223
PIR LIM PIM PIM,-23.459282,-46.66825
VOVO CARMELA,-23.481152,-46.68552
ELOHIM ADONAI II,-23.46583,-46.663295
DOCE INFANCIA,-23.473774,-46.661201
CLARICE LISPECTOR,-23.458208,-46.656601
LYGIA FAGUNDES TELLES,-23.487298,-46.675672
ANA NERY,-23.46755,-46.684387
CRISTOVAO,-23.45959,-46.65709
CLUBE DOS LEOEZINHOS,-23.446046,-46.699188
NAKINE,-23.457945,-46.68173
CASTELO BRANCO,-23.474264,-46.693908
REGGIO EMILIA,-23.441183,-46.708616
PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA,-23.466649,-46.660881
PINGO DE ROSA,-23.474511,-46.683668
FUTUROS GENIOS,-23.473061,-46.672184
OIKOS II,-23.468273,-46.682245
ALEGRIA DE CRIANCA,-23.47419,-46.665328
ADEMARIO SANTANA,-23.452425,-46.685989
LAR DA VITORIA,-23.459062,-46.707167
BOM JESUS,-23.459723,-46.651273
CANDIDO PORTINARI,-23.467754,-46.647348
OLHAR DE CRIANCA,-23.46887,-46.663914
PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA X,-23.471331,-46.698438
CAMINHAR E PRECISO,-23.463455,-46.66795
MACEDONIA,-23.455688,-46.710765
ANTONIO PEREIRA DE SOUZA NETO,-23.483488,-46.691528
FADA MADRINHA,-23.461332,-46.668679
SOARES LIMA,-23.458602,-46.70669
ECA,-23.475923,-46.667217
PRIMEIRO MUNDO,-23.490156,-46.698651
VOVO ALZIRA,-23.468992,-46.647692
BONA VITTA,-23.462094,-46.703399
PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA II,-23.506167,-46.659367
CARLOS APOLINARIO,-23.457898,-46.702844
VO NICE,-23.450637,-46.681255
BOAVENTURA,-23.458147,-46.696576
ARCO IRIS,-23.456152,-46.665374
RENASCER,-23.50399,-46.698343
MARIA CLARA MACHADO,-23.458388,-46.656575
JACIARA,-23.451422,-46.699592
RL KIDS PRIMEIRA INFANCIA,-23.471677,-46.693493
COLEGIO BARTOLOMEU BARBOSA,-23.462714,-46.676043
CRISTOVAO II,-23.45774,-46.650669
"SEMEAR, COLEGIO",-23.493043,-46.695494
PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA XIII,-23.482914,-46.66596
CASA VERDE - WALTER ABRAHAO,-23.512309,-46.650522
JARDIM MONJOLO,-23.489116,-46.700625
JARDIM MONTE ALEGRE,-23.475601,-46.702735
JARDIM PERI,-23.462637,-46.663374
JARDIM PRIMAVERA I,-23.486154,-46.680644
JARDIM VISTA ALEGRE,-23.450183,-46.688089
"JOAO TONIOLO, VER.",-23.483841,-46.703185
MARCIA RICCO FERRAZ,-23.473143,-46.676209
MARIA JOSE DE SOUZA,-23.45365,-46.699501
VILA BRASILANDIA,-23.463494,-46.701085
VILA PENTEADO,-23.472601,-46.683846
VILA PRADO,-23.492542,-46.672238
GUILHERME HENRIQUE PINTO COELHO,-23.4809,-46.66789
VILA NINA,-23.473324,-46.692975
JARDIM GUARANI,-23.461728,-46.691124
JARDIM DAMASCENO,-23.450424,-46.695028
JARDIM DOS FRANCOS,-23.455171,-46.680214
TEQUINHO DO CEU,-23.476101,-46.680798
JARDIM MARACANA,-23.476294,-46.682733
JARDIM TEREZA,-23.461168,-46.6806
INACIO DE LIMA OLIVEIRA,-23.454181,-46.662465
VILA NOVA CACHOEIRINHA,-23.470349,-46.666115
ANTONIO CORREIA,-23.467675,-46.660901
PARQUE PERUCHE,-23.49749,-46.65584
PARQUE MANDI,-23.481877,-46.682829
NOSSA SENHORA MAE DE DEUS,-23.500134,-46.69363
MENINO JESUS,-23.502734,-46.698091
GENTE INOCENTE,-23.492925,-46.664212
NOSSA SENHORA DO O ,-23.49012,-46.694723
PAZ,-23.448133,-46.688773
PINGO DE GENTE,-23.464488,-46.676875
"REYNALDO DE MARIA FREITAS E SILVA, PROF",-23.487084,-46.655514
JARDIM ITAGUACU,-23.451845,-46.675505
NANY APPLE,-23.483772,-46.686441
RAIO DE LUZ,-23.451382,-46.675809
JARDIM ELISA MARIA,-23.455454,-46.684432
VILA RICA,-23.468336,-46.671615
JARDIM PAULISTANO,-23.462056,-46.711731
VILA NOVA ESPERANCA,-23.454103,-46.706363
JARDIM CENTENARIO,-23.473089,-46.66712
JARDIM DAMASCENO II,-23.446241,-46.704379
OBRAS SOCIAIS DE VISTA ALEGRE UNID I FO,-23.451938,-46.687298
CENTRO COM NOSSA SENHORA APARECIDA UNID II CV,-23.462675,-46.653871
ASS BENEFICENTE UNIDOS DO JARDIM GUARANI UNID I FO,-23.462892,-46.689405
ENTIDADE BENEFICENTE SANTA BARBARA UNID I FO,-23.449101,-46.698131
ASSOCIACAO CANTAREIRA UNID I FO,-23.449025,-46.697424
ASSOCIACAO CANTAREIRA UNID II FO,-23.455568,-46.699068
ASSOCIACAO CANTAREIRA UNID III FO,-23.459349,-46.709895
ASSOCIACAO CANTAREIRA UNID IV FO,-23.566958,-46.673381
ASSOCIACAO CANTAREIRA UNID VII FO,-23.457581,-46.697155
ASSOCIACAO CANTAREIRA UNID X FO,-23.458925,-46.692986
ASSOCIACAO CANTAREIRA UNID XII FO,-23.458519,-46.695975
OBRAS SOCIAIS DE VISTA ALEGRE UNID V FO,-23.461453,-46.674446
CLUBE DE MAES JD VISTA ALEGRE UNID III FO,-23.451218,-46.680556
ASS SOC CULT MADRE TERESA DE JESUS UNID I FO,-23.456189,-46.685354
ASS CULT ESP BENEF VL NV CACHOEIRINHA UNID I FO,-23.47103,-46.662945
CENTRO COM NOSSA SENHORA APARECIDA UNID FO V,-23.460962,-46.6525
ASSOCIACAO CANTAREIRA UNID XIII FO,-23.446242,-46.700043
ASSOCIACAO CANTAREIRA UNID XIV FO,-23.473018,-46.671187
ASSOC BENEF OIKOS UNID VI,-23.481627,-46.684072
CENTRO DE ASSISTENCIA SOCIAL DO JD PERI - UNID I,-23.470472,-46.65949
CLUBE DE MAES MARIA DAS DORES UNID II FO,-23.460423,-46.68982
ASSOC BENEF OIKOS UNIDADE VII,-23.482196,-46.678184
SOC AMIGOS DO DISTRITO DE PERUS,-23.470536,-46.693699
CENTRO DE ASSISTENCIA SOCIAL DO JD PERI,-23.458111,-46.656098
ASSOCIACAO MENINO DEUS,-23.507084,-46.683947
ASSOCIACAO CANTAREIRA,-23.460963,-46.698215
ASS CULT BENEF VL NV CACHOEIRINHA UNID II FO,-23.476932,-46.679603
INSTITUTO OIKOS,-23.469171,-46.692627
CENTRO DE ASSISTENCIA SOCIAL DE VILA DIONISIA,-23.460398,-46.662793
CENTRO DE ASSISTENCIA SOCIAL DE VILA DIONISIA II,-23.467612,-46.659608
ASS CULT ESP BENEF VL NV CACHOEIRINHA - UNID III FO,-23.494778,-46.668329
ASS CULT ESP BENEF VL NV CACHOEIRINHA - UNID IV FO,-23.480397,-46.66749
ASS CULT ESP BENEF VL NV CACHOEIRINHA - UNID V FO,-23.482648,-46.682848
ASS CULT ESP BENEF VL NV CACHOEIRINHA - UNID VI FO,-23.508001,-46.657975
SOC AMIGOS DO DISTRITO DE PERUS - SADIP,-23.458593,-46.713281
PAULO CAMILHIER FLORENCANO,-23.553905,-46.398452
"IDEMIA DE GODOY, PROFA.",-23.536549,-46.406522
OLGA BENARIO PRESTES,-23.572595,-46.401801
ALEXANDRE VANNUCHI LEME,-23.572339,-46.403721
"LUIS CARLOS PRESTES, SEN.",-23.570358,-46.399528
"QUIRINO CARNEIRO RENNO, PROF.",-23.554525,-46.396781
"MARIO BENI, DEP.",-23.582198,-46.404871
ELIAS SHAMMASS,-23.5783,-46.394071
"JOSE ROBERTO DE CASTRO RIBEIRO, PROF.",-23.594653,-46.398337
"DULCE SALLES FERRAZ, PROFA.",-23.590272,-46.40141
"OLINDA MENEZES SERRA VIDAL, PROFA.",-23.59393,-46.400089
"ANNA LAMBERGA ZEGLIO, VER.",-23.590821,-46.401382
"EDUARDO KNEESE DE MELLO, PROF.",-23.593969,-46.414391
"ELISIARIO RODRIGUES DE SOUSA, PROF.",-23.591914,-46.412347
"ANTONIO DAVILA, PROF.",-23.593882,-46.407912
"CAIO SERGIO POMPEU DE TOLEDO, DEP.",-23.592548,-46.41659
"CLAUDIA BARTOLOMAZI, PROFA.",-23.582484,-46.411843
"HELENA LOPES SANTANA DA SILVA, PROFA.",-23.536498,-46.406098
"MAILSON DELANE, PROF.",-23.586924,-46.391523
"LUCILIA DE ANDRADE FERREIRA, PROFA.",-23.58312,-46.394209
"GESSY GEBARA, PROFA.",-23.578985,-46.392259
"LUIZ ROBERTO MEGA, PROF.",-23.565278,-46.417465
"RAUL NEMENZ, PROF",-23.585145,-46.392224
WILSON REIS SANTOS,-23.527862,-46.392827
INACIO MONTEIRO,-23.56986,-46.411474
JAMBEIRO,-23.538692,-46.422915
INACIO MONTEIRO,-23.569843,-46.411811
"THERESINHA SQUINCA DA SILVA, PROFA",-23.538692,-46.422915
"MARIA APARECIDA LARA COIADO, PROFA",-23.554297,-46.414559
"SILVANA APARECIDA TOBIAS, PROFA.",-23.544406,-46.400492
EDNA ALVES DE SOUSA PROFA,-23.544421,-46.400486
"IRENE MANKE MARQUES, PROFA.",-23.594601,-46.406758
AGUA AZUL,-23.594601,-46.406758
"ELIZA MARA TORRES, PROFA",-23.529276,-46.428441
LAJEADO,-23.544421,-46.400486
DIAS GOMES,-23.544168,-46.390965
"MEIRE DE JESUS RIBEIRO,PROF.",-23.585407,-46.392587
JOEL FERNANDES DE SOUZA,-23.57648,-46.392045
"CELIA REGINA ANDERY BRAGA, PROF",-23.565498,-46.416837
"HELINA COUTINHO LOURENCO ALVES, PROFESSORA",-23.578746,-46.412922
"MARIA APARECIDA MAGNANELLI FERNANDES, PROFA",-23.570973,-46.397309
"MARIA APARECIDA DO NASCIMENTO, PROFA.",-23.593132,-46.413465
"FULVIA ROSEMBERG, PROFA",-23.580754,-46.407087
"DORACI DOS SANTOS RAMOS, PROFA",-23.58713,-46.406589
"ANA PAULA APARECIDA DINIZ PRIMO, PROFA",-23.52096,-46.428315
CIDADE TIRADENTES IV,-23.583592,-46.393081
LAJEADO II,-23.535338,-46.398917
BARRO BRANCO III,-23.587224,-46.391367
RODRIGUES DE ABREU,-23.546472,-46.41506
"GIANFEDERICO PORTA, PROF.",-23.549102,-46.401418
TOMAS GALHARDO,-23.566318,-46.408296
MARGARIDA MARIA ALVES,-23.590834,-46.406986
CARLOTA PEREIRA DE QUEIROZ,-23.601095,-46.398894
ADONIRAN BARBOSA,-23.605029,-46.40004
AMACIO MAZZAROPI,-23.563783,-46.396401
ODUVALDO VIANA FILHO,-23.566038,-46.399466
SAMUEL WAINER,-23.580878,-46.403004
ANTONIO PEREIRA LIMA,-23.523305,-46.418873
MAGDALENA TAGLIAFERRO,-23.528141,-46.411664
"JOAO DE LIMA PAIVA, PROF.",-23.541621,-46.412502
VINTE E CINCO DE JANEIRO,-23.544735,-46.409816
"JOANA ANGELICA DE JESUS, MADRE",-23.548973,-46.400624
SATURNINO PEREIRA,-23.56496,-46.416057
OSWALDO ARANHA BANDEIRA DE MELLO,-23.592691,-46.406484
MAURICIO GOULART,-23.599861,-46.40195
VLADIMIR HERZOG,-23.609879,-46.397962
JOAO RIBEIRO DE BARROS,-23.522916,-46.419335
ALEXANDRE DE GUSMAO,-23.527853,-46.411649
"JUSCELINO KUBITSCHEK DE OLIVEIRA, PRES.",-23.564477,-46.396651
ANTONIO PEREIRA IGNACIO,-23.582687,-46.40514
"KLAUS REINACH, ENG.",-23.593368,-46.392935
ELISA KAUFFMANN ABRAMOVICH,-23.602666,-46.40392
VALDIR AZEVEDO,-23.565515,-46.404612
AURELIANO LEITE,-23.593035,-46.393128
"JOSE AUGUSTO CESAR SALGADO, DR.",-23.591947,-46.396015
"ROSA KAZUE INAKAKE DE SOUZA, PROFA",-23.544195,-46.415413
PAPA CAPIM E.E.I.,-23.539146,-46.412677
JOAO XXIII,-23.536286,-46.404136
PEQUENINOS BRILHANTES,-23.608839,-46.398826
PLANETA KIDS,-23.568541,-46.400899
LAR FELIZ,-23.549382,-46.409312
ELZA NEGRO,-23.549824,-46.400721
RENOVO,-23.528619,-46.420097
IRACI SANTANA,-23.537366,-46.406833
MORIAH,-23.540001,-46.410756
"MARIA NERI, DONA",-23.548798,-46.420163
AVES GALHANI,-23.540575,-46.413227
ESPACO KAIROS VII,-23.538457,-46.411527
ELOHIM,-23.537961,-46.416408
PLENO VIVER,-23.547796,-46.413361
LAR SEMENTES DE PAZ,-23.567563,-46.401221
UNIVERSO DA CRIANCA I,-23.554761,-46.40107
BEM QUERER II,-23.531994,-46.421062
EL SHADAI,-23.528664,-46.39352
BOAVENTURA II,-23.551522,-46.395853
MUNDO DA ALEGRIA III,-23.52451,-46.421633
MVV DE GUAIANASES,-23.536049,-46.396085
ALEM DO HORIZONTE,-23.555152,-46.413921
EFRAIM,-23.522399,-46.418547
JARDIM DA INFANCIA,-23.560419,-46.406197
YVETTE ORTEGA,-23.545911,-46.405778
CEU E COR,-23.545937,-46.405907
MAYARA ESPERANCA E VIDA,-23.547812,-46.408652
LAR CANTINHO DO SABER,-23.569773,-46.401935
CORA CORALINA,-23.53842,-46.400821
IGEVE GUAIANASES MENDONCA,-23.532471,-46.396088
ELITE,-23.589375,-46.402531
ADENIVO MENDES DE AQUINO,-23.547553,-46.404319
TIA TEINHA NERI,-23.560091,-46.41164
CAMINHAR E CRESCER,-23.53794,-46.405616
ALPS LAJEADO II,-23.536362,-46.398002
PAZ NOS VALES,-23.55923,-46.408495
ENCARNACAO GIMENEZ MARTINEZ LUCAS,-23.553942,-46.407344
JULIO FRANCISCO DE SOUZA,-23.565053,-46.418535
PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA III,-23.582464,-46.385565
RAFA GIRE,-23.588244,-46.40618
ESPACO KAIROS VIII,-23.546952,-46.396426
MUNDO DOS SONHOS III,-23.543819,-46.413342
JESUS REI,-23.572702,-46.401143
JOSE AMADO DOS SANTOS,-23.52935,-46.395355
JESUS MENINO III,-23.591149,-46.413045
ANJOS DA ESPERANCA,-23.540287,-46.415234
RAFA GIRE IV,-23.545189,-46.3932
SOSSEGO DA MAMAE,-23.582676,-46.393015
YAHWE NISSI,-23.536342,-46.414297
GIRASSOL,-23.580306,-46.413601
ADONAI,-23.53181,-46.414518
IGEVE GUAIANASES RUBI,-23.522597,-46.391202
KANOE,-23.581086,-46.38237
RAFA GIRE II,-23.558565,-46.395334
SMILES,-23.579605,-46.39944
PODER E QUERER,-23.580336,-46.406178
ESPACO KAIROS VI,-23.546699,-46.389751
JULIO FRANCISCO DE SOUZA II,-23.56513,-46.419267
INOVACAO,-23.564331,-46.413319
VICENTE MACHADO,-23.548966,-46.412279
PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA V,-23.580117,-46.40472
IASHUA,-23.584062,-46.405796
PEDRO XAVIER,-23.603773,-46.398862
VO NICE II,-23.534949,-46.423915
JARDIM HELICONIA,-23.591248,-46.41552
VOVO LIDIA II,-23.535724,-46.409485
SEMENTES DO FUTURO,-23.588877,-46.412651
VO NICE III,-23.588216,-46.408088
ANJO RAFAELA,-23.543639,-46.396267
LAR GERACAO FUTURO,-23.586989,-46.381581
