"Avenida Ceci, Planalto Paulista",sp+sao-paulo+zona-sul,casas,130,2,3,1,3200,"Casa com 3 dorms, Planalto Paulista, São Paulo, Cod: 481",/imovel/aluguel-casa-3-quartos-planalto-paulista-zona-sul-sao-paulo-sp-130m2-id-2515413588/
"Rua Geraldo Bourroul, Brooklin",sp+sao-paulo+zona-sul,casas,110,2,2,2,2100,São Paulo - Casa Padrão - Brooklin,/imovel/aluguel-casa-2-quartos-com-armario-de-cozinha-brooklin-zona-sul-sao-paulo-sp-110m2-id-2515374787/
"Rua Francisco de Paula Brito, Planalto Paulista",sp+sao-paulo+zona-sul,casas,180,3,3,3,4200,SOBRADO 3 DORMTS 2 SUÍTES 180 M² EDÍCULA + QUINTAL PLANALTO PAULISTA LOCAÇÃO,/imovel/aluguel-casa-3-quartos-com-area-de-servico-planalto-paulista-zona-sul-sao-paulo-sp-180m2-id-2515398595/
"Rua Capanema, Brooklin",sp+sao-paulo+zona-sul,casas,130,2,2,1,3500,São Paulo - Casa Padrão - Brooklin,/imovel/aluguel-casa-2-quartos-com-armario-de-cozinha-brooklin-zona-sul-sao-paulo-sp-130m2-id-2515806180/
"Rua Horácio Alves da Costa, Jardim Nosso Lar",sp+sao-paulo+zona-sul,casas,140,3,3,2,2300,SãO PAULO - Casa Padrão - Jardim Nosso Lar,/imovel/aluguel-casa-3-quartos-jardim-nosso-lar-zona-sul-sao-paulo-sp-140m2-id-2510489009/
"Avenida Doutor Cardoso de Melo, Vila Olímpia",sp+sao-paulo+zona-sul,apartamentos,74,2,2,1,5850,"Apartamento com 2 dormitórios para alugar, 74 m² por R$ 5.850,00/mês - Vila Olímpia - São Paulo/SP",/imovel/aluguel-apartamento-2-quartos-mobiliado-vila-olimpia-zona-sul-sao-paulo-sp-74m2-id-2512499139/
"Rua Joinville, Vila Mariana",sp+sao-paulo+zona-sul,apartamentos,100,3,3,1,2700,Apartamento de 100 m² inteiro reformado bem localizado no bairro Vila Mariana !!,/imovel/venda-apartamento-3-quartos-vila-mariana-zona-sul-sao-paulo-sp-100m2-id-2482121802/
"Rua Luís Correia de Melo, Granja Julieta",sp+sao-paulo+zona-sul,apartamentos,38,1,1,1,2991,"Apartamento com 1 dormitório, 38 m² - venda por R$ 450.000,00 ou aluguel por R$ 2.991,32 - Granja Ju",/imovel/venda-apartamento-1-quarto-com-armario-de-cozinha-granja-julieta-zona-sul-sao-paulo-sp-38m2-id-2502353042/
"Rua Major Freire, São Judas",sp+sao-paulo+zona-sul,apartamentos,57,2,2,1,2200,Apartamento de 57 metros quadrados no bairro Vila Monte Alegre com 2 quartos,/imovel/venda-apartamento-2-quartos-com-piscina-sao-judas-zona-sul-sao-paulo-sp-57m2-id-2443674477/
"Avenida Cupecê, Jardim Prudência",sp+sao-paulo+zona-sul,apartamentos,69,2,2,1,2700,"Apartamento com 2 dormitórios para alugar, 69 m² por R$ 2.700,00/mês - Jardim Prudência - São Paulo/",/imovel/aluguel-apartamento-2-quartos-com-piscina-jardim-prudencia-zona-sul-sao-paulo-sp-69m2-id-2513968623/
"Rua Zacarias de Gois, Campo Belo",sp+sao-paulo+zona-sul,apartamentos,100,3,2,2,5650,Apartamento para aluguel com 100 metros quadrados com 2 quartos no Campo Belo- São Paulo - SP,/imovel/aluguel-apartamento-2-quartos-com-piscina-campo-belo-zona-sul-sao-paulo-sp-100m2-id-2514598912/
Jardim Prudência,sp+sao-paulo+zona-sul,apartamentos,76,2,2,2,3500,"Apartamento com 2 dormitórios para alugar, 76 m² por R$ 3.500,00/mês - Jardim Prudência - São Paulo/",/imovel/aluguel-apartamento-2-quartos-com-piscina-jardim-prudencia-zona-sul-sao-paulo-sp-76m2-id-2511897731/
"Rua Barão do Triunfo, Brooklin",sp+sao-paulo+zona-sul,apartamentos,48,1,1,1,1800,"Apartamento para alugar, 48 m² por R$ 1.800,00/mês - Brooklin Novo - São Paulo/SP",/imovel/aluguel-apartamento-1-quarto-com-piscina-brooklin-zona-sul-sao-paulo-sp-48m2-id-2515299201/
"Alameda dos Aicás, Moema",sp+sao-paulo+zona-sul,apartamentos,106,3,2,2,7000,São Paulo - Apartamento Padrão - Moema Índios,/imovel/venda-apartamento-2-quartos-com-piscina-moema-zona-sul-sao-paulo-sp-106m2-id-2493176636/
"Rua Teodoro de Beaurepaire, Vila Dom Pedro I",sp+sao-paulo+zona-sul,apartamentos,91,3,3,2,2800,3 Domit - Suíte - Varanda - Lazer - próximo ao Metrô,/imovel/aluguel-apartamento-3-quartos-com-piscina-vila-dom-pedro-i-zona-sul-sao-paulo-sp-91m2-id-2511422686/
"Rua Paulo Orozimbo, Cambuci",sp+sao-paulo+zona-sul,apartamentos,70,2,2,1,2100,Apartamento para aluguel tem 70 metros quadrados com 2 quartos em Cambuci - São Paulo - São Paulo,/imovel/aluguel-apartamento-2-quartos-cambuci-zona-sul-sao-paulo-sp-70m2-id-2515972709/
"Rua Baluarte, Vila Olímpia",sp+sao-paulo+zona-sul,apartamentos,73,2,2,1,4600,São Paulo - Apartamento Padrão - Vila Olímpia,/imovel/venda-apartamento-2-quartos-com-elevador-vila-olimpia-zona-sul-sao-paulo-sp-73m2-id-2515467093/
